Track n°,Slice n°,X,Y,Distance,Velocity,Pixel Value
1,386,922,526,0.074,2.236,8750469
1,387,953,476,1.941,58.830,9408399
1,388,934,508,1.228,37.216,8553090
1,389,924,526,0.680,20.591,8618883
1,390,937,506,0.787,23.854,8684676
1,391,938,506,0.033,1.000,8816262
1,392,894,573,2.645,80.156,8882055
1,393,900,573,0.198,6.000,9079434
1,394,924,536,1.455,44.102,9276813
1,395,933,518,0.664,20.125,8618883
1,396,934,518,0.033,1.000,8618883
1,397,960,486,1.361,41.231,8421504
1,398,924,513,1.485,45.000,8618883
1,399,945,493,0.957,29.000,8947848
1,400,962,466,1.053,31.906,9145227
1,401,965,466,0.099,3.000,9408399
1,402,949,493,1.036,31.385,9145227
1,403,920,528,1.500,45.453,8684676
1,404,946,493,1.439,43.600,8618883
1,405,924,516,1.050,31.828,8487297
1,406,921,516,0.099,3.000,8553090
1,407,942,494,1.004,30.414,8882055
1,408,921,516,1.004,30.414,8618883
1,409,952,486,1.424,43.139,9013641
1,410,944,516,1.025,31.048,8487297
1,411,944,516,0.000,0.000,8487297
1,412,952,477,1.314,39.812,9211020
1,413,937,509,1.166,35.341,8750469
1,414,961,468,1.568,47.508,9539985
1,415,960,469,0.047,1.414,9539985
1,416,941,498,1.144,34.670,8487297
1,417,956,474,0.934,28.302,9079434
1,418,937,508,1.285,38.949,8553090
1,419,945,489,0.680,20.616,8947848
1,420,942,490,0.104,3.162,8882055
1,421,941,496,0.201,6.083,9013641
1,422,913,542,1.777,53.852,8421504
1,423,942,486,2.081,63.063,8816262
1,424,909,534,1.922,58.249,8553090
1,425,910,533,0.047,1.414,8553090
1,426,941,485,1.886,57.140,9342606
1,427,900,517,1.716,52.010,8618883
1,428,930,498,1.172,35.511,8947848
1,429,900,530,1.447,43.863,8618883
1,430,900,530,0.000,0.000,8618883
1,431,938,488,1.869,56.639,8947848
1,432,901,529,1.822,55.227,8618883
1,433,933,496,1.517,45.967,8816262
1,434,918,538,1.472,44.598,8553090
1,435,918,538,0.000,0.000,8553090
1,436,938,500,1.417,42.942,8618883
1,437,917,521,0.980,29.698,8750469
1,438,942,490,1.314,39.825,8750469
1,439,922,516,1.082,32.802,8487297
1,440,924,516,0.066,2.000,8553090
1,441,940,492,0.952,28.844,8750469
1,442,929,516,0.871,26.401,8882055
1,443,949,488,1.136,34.409,9079434
1,444,932,514,1.025,31.064,8224125
1,445,932,514,0.000,0.000,8224125
1,446,948,489,0.979,29.682,8816262
1,447,941,510,0.730,22.136,8224125
1,448,912,540,1.377,41.725,8092539
1,449,916,541,0.136,4.123,8092539
1,450,938,502,1.478,44.777,8618883
1,451,910,536,1.453,44.045,8158332
1,452,948,490,1.969,59.666,9013641
1,453,918,534,1.757,53.254,8487297
1,454,918,533,0.033,1.000,8421504
1,455,960,474,2.390,72.422,9474192
1,456,924,529,2.169,65.734,8487297
1,457,956,476,2.043,61.911,8816262
1,458,918,514,1.773,53.740,8224125
1,459,918,514,0.000,0.000,8224125
1,460,949,482,1.470,44.553,9013641
1,461,932,533,1.774,53.759,8224125
1,462,956,488,1.683,51.000,8421504
1,463,929,541,1.963,59.481,9079434
1,464,929,542,0.033,1.000,9342606
1,465,957,478,2.305,69.857,9013641
1,466,908,544,2.713,82.201,8553090
1,467,953,476,2.691,81.541,8618883
1,468,933,509,1.273,38.588,7960953
1,469,933,510,0.033,1.000,8026746
1,470,958,480,1.289,39.051,9211020
1,471,932,505,1.190,36.069,8553090
1,472,905,541,1.485,45.000,8158332
1,473,905,541,0.000,0.000,8158332
1,474,946,494,2.058,62.370,8487297
1,475,916,544,1.924,58.310,8158332
1,476,938,492,1.863,56.462,8487297
1,477,961,469,1.073,32.527,8947848
1,478,961,469,0.000,0.000,8947848
1,479,946,486,0.748,22.672,8553090
1,480,929,530,1.557,47.170,7500402
1,481,942,512,0.733,22.204,8355711
1,482,929,532,0.787,23.854,8684676
1,483,929,533,0.033,1.000,8684676
1,484,940,510,0.841,25.495,8092539
1,485,926,533,0.889,26.926,8026746
1,486,946,501,1.245,37.736,8487297
1,487,961,466,1.257,38.079,9211020
1,488,961,466,0.000,0.000,9211020
1,489,933,501,1.479,44.822,8158332
1,490,956,472,1.221,37.014,9079434
1,491,925,522,1.941,58.830,8092539
1,492,944,497,1.036,31.401,8618883
1,493,944,496,0.033,1.000,8618883
1,494,934,522,0.919,27.857,8158332
1,495,950,482,1.422,43.081,8684676
1,496,937,512,1.079,32.696,8355711
1,497,940,502,0.345,10.440,8421504
1,498,940,502,0.000,0.000,8421504
1,499,945,506,0.211,6.403,8289918
1,500,961,469,1.330,40.311,9145227
1,501,940,506,1.404,42.544,8355711
1,502,922,533,1.071,32.450,8092539
1,503,922,533,0.000,0.000,8026746
1,504,942,502,1.217,36.892,8553090
1,505,918,524,1.074,32.558,8092539
1,506,934,500,0.952,28.844,8684676
1,507,934,498,0.066,2.000,8684676
1,508,928,520,0.753,22.804,8553090
1,509,948,490,1.190,36.056,8947848
1,510,949,516,0.859,26.019,8289918
1,511,930,546,1.172,35.511,8289918
1,512,930,546,0.000,0.000,8289918
1,513,952,494,1.863,56.462,8750469
1,514,925,534,1.593,48.260,8224125
1,515,932,514,0.699,21.190,8289918
1,516,938,540,0.881,26.683,8289918
1,517,938,540,0.000,0.000,8224125
1,518,961,485,1.967,59.615,9474192
1,519,937,526,1.568,47.508,7895160
1,520,922,537,0.614,18.601,8026746
1,521,937,500,1.318,39.925,8289918
1,522,936,500,0.033,1.000,8289918
1,523,928,536,1.217,36.878,8158332
1,524,938,502,1.170,35.440,8553090
1,525,930,530,0.961,29.120,8092539
1,526,944,506,0.917,27.785,8421504
1,527,944,506,0.000,0.000,8421504
1,528,936,525,0.680,20.616,8092539
1,529,949,484,1.419,43.012,8816262
1,530,922,509,1.214,36.797,8421504
1,531,960,469,1.821,55.172,9408399
1,532,960,469,0.000,0.000,9408399
1,533,905,532,2.760,83.630,8158332
1,534,956,473,2.574,77.987,9211020
1,535,929,521,1.817,55.073,8158332
1,536,952,486,1.382,41.881,8684676
1,537,952,486,0.000,0.000,8684676
1,538,937,545,2.009,60.877,8092539
1,539,969,480,2.391,72.450,9211020
1,540,938,529,1.913,57.983,8421504
1,541,941,528,0.104,3.162,8355711
1,542,965,481,1.742,52.773,9079434
1,543,948,545,2.185,66.219,8092539
1,544,972,486,2.102,63.695,8947848
1,545,957,538,1.786,54.120,7829367
1,546,957,538,0.000,0.000,7763574
1,547,965,486,1.736,52.612,8618883
1,548,956,545,1.970,59.682,8092539
1,549,974,498,1.661,50.329,8750469
1,550,956,544,1.630,49.396,8158332
1,551,956,544,0.000,0.000,8224125
1,552,966,514,1.044,31.623,8355711
1,553,980,473,1.430,43.324,9539985
1,554,977,508,1.159,35.128,8947848
1,555,973,572,2.116,64.125,8289918
1,556,973,572,0.000,0.000,8158332
1,557,981,501,2.358,71.449,8882055
1,558,972,554,1.774,53.759,7829367
1,559,972,520,1.122,34.000,8289918
1,560,974,560,1.322,40.050,7631988
1,561,974,554,0.198,6.000,7895160
1,562,977,534,0.667,20.224,7960953
1,563,966,564,1.054,31.953,7895160
1,564,977,530,1.179,35.735,8882055
1,565,970,568,1.275,38.639,8092539
1,566,970,568,0.000,0.000,8158332
1,567,982,608,1.378,41.761,7697781
1,568,984,545,2.080,63.032,8355711
1,569,984,480,2.145,65.000,9013641
1,570,974,532,1.747,52.953,7960953
1,571,974,532,0.000,0.000,7960953
1,572,976,517,0.499,15.133,8487297
1,573,952,533,0.952,28.844,8224125
1,574,957,521,0.429,13.000,8553090
1,575,957,521,0.000,0.000,8553090
1,576,944,521,0.429,13.000,8421504
1,577,957,490,1.109,33.615,9145227
1,578,957,513,0.759,23.000,8684676
1,579,964,486,0.920,27.893,9211020
1,580,970,482,0.238,7.211,9276813
1,581,962,513,1.057,32.016,8553090
1,582,962,494,0.627,19.000,8947848
1,583,950,509,0.634,19.209,8684676
1,584,961,465,1.497,45.354,9474192
1,585,962,464,0.047,1.414,9605778
1,586,941,508,1.609,48.754,8487297
1,587,964,470,1.466,44.418,9474192
1,588,953,504,1.179,35.735,8355711
1,589,960,485,0.668,20.248,9342606
1,590,958,477,0.272,8.246,8947848
1,591,938,516,1.446,43.829,8092539
1,592,910,532,1.064,32.249,8092539
1,593,928,508,0.990,30.000,8421504
1,594,960,464,1.795,54.406,9868950
1,595,960,466,0.066,2.000,9868950
1,596,922,538,2.687,81.413,8092539
1,597,957,473,2.436,73.824,9474192
1,598,944,533,2.026,61.392,8026746
1,599,936,534,0.266,8.062,8158332
1,600,913,533,0.760,23.022,8158332
1,601,933,510,1.006,30.480,8158332
1,602,912,540,1.208,36.620,8421504
1,603,930,500,1.447,43.863,8421504
1,604,929,500,0.033,1.000,8487297
1,605,910,528,1.117,33.838,8618883
1,606,910,528,0.000,0.000,8618883
1,607,904,550,0.753,22.804,8553090
1,608,920,520,1.122,34.000,8618883
1,609,920,520,0.000,0.000,8618883
1,610,938,542,0.938,28.425,8355711
1,611,953,518,0.934,28.302,7960953
1,612,966,485,1.170,35.468,9013641
1,613,948,533,1.692,51.264,8224125
1,614,948,533,0.000,0.000,8224125
1,615,922,554,1.103,33.422,8026746
1,616,934,516,1.315,39.850,8158332
1,617,913,529,0.815,24.698,8487297
1,618,928,505,0.934,28.302,8750469
1,619,928,505,0.000,0.000,8816262
1,620,913,518,0.655,19.849,8355711
1,621,924,509,0.469,14.213,8421504
1,622,916,524,0.561,17.000,8421504
1,623,936,492,1.245,37.736,8684676
1,624,937,492,0.033,1.000,8750469
1,625,930,529,1.243,37.656,8092539
1,626,964,465,2.392,72.471,9013641
1,627,930,524,2.247,68.096,8224125
1,628,961,466,2.170,65.765,9605778
1,629,962,473,0.233,7.071,9474192
1,630,934,512,1.584,48.010,8026746
1,631,962,476,1.505,45.607,8947848
1,632,945,528,1.805,54.708,8026746
1,633,962,481,1.649,49.980,8947848
1,634,962,481,0.000,0.000,8947848
1,635,938,520,1.511,45.793,8092539
1,636,917,544,1.052,31.890,8026746
1,637,934,517,1.053,31.906,8421504
1,638,934,517,0.000,0.000,8487297
1,639,913,545,1.155,35.000,7895160
1,640,933,516,1.163,35.228,7829367
1,641,913,528,0.770,23.324,8026746
1,642,929,518,0.623,18.868,8026746
1,643,929,518,0.000,0.000,8092539
1,644,912,546,1.081,32.757,9145227
1,645,930,516,1.155,34.986,8289918
1,646,918,541,0.915,27.731,8487297
1,647,938,516,1.057,32.016,8092539
1,648,938,516,0.000,0.000,8092539
1,649,929,530,0.549,16.643,7763574
